Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0033687,Proteinuria,0.0,0.025,0.025,0.0009412395147336047,0.0015236156887105498
C0033860,Psoriasis,0.014285714285714285,0.014285714285714285,0.0,0.0008226937527217882,0.0007778722846077781
C0033941,"Psychoses, Substance-Induced",0.2,0.15,-0.05000000000000002,0.0036133437761764102,0.00805051740481999
C0033975,Psychotic Disorders,0.05,0.0,-0.05,0.012930696615969798,0.0006077618413138067
C0034065,Pulmonary Embolism,0.0,0.0,0.0,0.0003910364510262408,0.0005509673769589677
C0034069,Pulmonary Fibrosis,0.14500000000000002,0.205,0.05999999999999997,0.020530394435313425,0.023162879529550894
C0034951,Refractive Errors,0.0,0.0,0.0,0.00034549229215986903,0.00034951612344868803
C0035126,Reperfusion Injury,0.02361111111111111,0.04861111111111111,0.025,0.0017516255262797077,0.0021466740917113016
C0035228,Respiratory Hypersensitivity,0.15,0.25,0.1,0.02132754214953133,0.03602325411920515
C0035229,Respiratory Insufficiency,0.0,0.0,0.0,0.000176236310194323,0.00018976171703093193
C0035304,Retinal Degeneration,0.0,0.0,0.0,0.0003781004047386169,0.0007508673292107707
C0035309,Retinal Diseases,0.0,0.0,0.0,0.00068913954906866,0.000659115413576682
C0035334,Retinitis Pigmentosa,0.07142857142857142,0.05714285714285714,-0.014285714285714284,0.023429441709647295,0.003927418214779222
C0035828,Romano-Ward Syndrome,0.05,0.05,0.0,0.0027783730498192423,0.008385716607867596
C0036095,Salivary Gland Neoplasms,0.0,0.0,0.0,0.00037052805652808187,0.0005092816314779226
C0036341,Schizophrenia,0.012681159420289856,0.012681159420289856,0.0,0.0009671811935487787,0.0007203232726145657
C0036346,"Schizophrenia, Childhood",0.0,0.0,0.0,0.00012860137549233107,0.00014151584507444878
C0036421,Systemic Scleroderma,0.0,0.05,0.05,0.00043761141547102127,0.0008730960052370527
C0036572,Seizures,0.02,0.03111111111111111,0.01111111111111111,0.0013413525893020515,0.0030420051159017183
C0036920,Sezary Syndrome,0.21666666666666665,0.18333333333333332,-0.033333333333333326,0.009648335676777127,0.010589127399028914
C0037268,Skin Abnormalities,0.0,0.0,0.0,0.00041346875040022276,0.00033848242536392467
C0037274,Dermatologic disorders,0.0,0.016666666666666666,0.016666666666666666,0.0005193595183045408,0.0005854467292566114
C0037286,Skin Neoplasms,0.11000000000000001,0.085,-0.02500000000000001,0.00573731971140385,0.008444492960678042
C0037769,West Syndrome,0.0,0.0,0.0,0.000599776472822626,0.0005706192841472336
C0038013,Ankylosing spondylitis,0.0,0.0,0.0,0.00019215228696279146,0.00013773393714022498
C0038220,Status Epilepticus,0.14761904761904762,0.11904761904761904,-0.02857142857142858,0.014028782441421828,0.016396927935700314
C0038325,Stevens-Johnson Syndrome,0.19999999999999998,0.13333333333333333,-0.06666666666666665,0.007872879819807792,0.008113425031236268
C0038356,Stomach Neoplasms,0.03214285714285714,0.025,-0.007142857142857138,0.002243238413111619,0.0022506442532980496
C0038358,Gastric ulcer,0.05,0.1,0.05,0.001953958460880585,0.004121800336832035
C0038454,Cerebrovascular accident,0.0,0.0,0.0,0.0009515112541398512,0.0012285374155556687
C0038587,Substance Withdrawal Syndrome,0.04,0.06000000000000001,0.02000000000000001,0.0031442953505268377,0.0024415930795642863
C0038644,Sudden infant death syndrome,0.05,0.05,0.0,0.0012092390409160732,0.0014404826985592275
C0039231,Tachycardia,0.0,0.1,0.1,0.0003769967477086517,0.0017458574485058886
C0039685,Tetralogy of Fallot,0.0,0.0,0.0,0.0004265106272867094,0.00029457504229311356
C0040028,"Thrombocythemia, Essential",0.05,0.0,-0.05,0.0013908484490346986,0.0008079611040881663
C0040034,Thrombocytopenia,0.0,0.0,0.0,0.00048196665733887047,0.0005589555361677082
C0040038,Thromboembolism,0.0,0.0,0.0,0.0007437243644189018,0.0008883421396616127
C0040053,Thrombosis,0.025,0.025,0.0,0.0011041409889706905,0.001398654830228834
C0040128,Thyroid Diseases,0.0,0.1,0.1,0.0006646474478882907,0.0013411946111259955
C0040136,Thyroid Neoplasm,0.0,0.025,0.025,0.0010810001003921717,0.0015847139602945671
C0040336,Tobacco Use Disorder,0.0,0.0,0.0,0.00020515257360744933,0.0002862411100822212
C0040427,Tooth Abnormalities,0.0,0.0,0.0,0.0004973016967403036,0.0003312691941276995
C0041755,Adverse reaction to drug,0.016666666666666666,0.016666666666666666,0.0,0.002166110902854298,0.0061461487570383605
C0041948,Uremia,0.05,0.05,0.0,0.0013458103795456642,0.0028146935369353665
C0042109,Urticaria,0.0,0.0,0.0,0.0006576523073819627,0.0009715428239238943
C0042373,Vascular Diseases,0.0,0.0,0.0,0.0008346208855719058,0.0010225481997510944
C0042487,Venous Thrombosis,0.0,0.0,0.0,0.0007362569704889088,0.0008190423047433344
C0042514,"Tachycardia, Ventricular",0.0,0.0,0.0,0.00027882872106102573,0.0002292729317511347
C0042900,Vitiligo,0.0,0.0,0.0,0.00038330918658446514,0.00040521399934920167
C0043094,Weight Gain,0.02361111111111111,0.02222222222222222,-0.001388888888888891,0.006976047823799884,0.0007620954625936613
C0043459,Zellweger Syndrome,0.0,0.0,0.0,0.0006369247008315624,0.0004804055703692666
C0079744,Diffuse Large B-Cell Lymphoma,0.05,0.025,-0.025,0.0017066908494760794,0.0012722981600641673
C0079772,T-Cell Lymphoma,0.15,0.25,0.1,0.015785280069275008,0.01687124146418053
